id,name,synonyms,category,kcal,fat,protein
10533,Agar Agar,,Verschiedenes/Gelier- und Bindemittel,160,0.2,2.4
10536,Agavensirup,Agavendicksaft,Süssigkeiten/Zucker und Süssstoffe,293,0,0.2
1478,"Älplermagronen, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,184,9,6.1
868,Amaretti (Mandelgebäck),,Süssigkeiten/Guetzli,451,12.4,7.6
617,"Ananas, gezuckert (Konserve)",,Früchte/Früchte gekocht (inkl. Konserven),87,0.2,0.4
377,"Ananas, roh",,Früchte/Früchte frisch,51,0.2,0.4
618,"Ananas, ungezuckert (Konserve)",,Früchte/Früchte gekocht (inkl. Konserven),51,0.2,0.4
1049,"Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker)",,Früchte/Früchte gekocht (inkl. Konserven),72,0.4,0.4
435,"Apfel, geschält, getrocknet",Dörrapfel,Früchte/Früchte getrocknet,295,2,1.5
378,"Apfel, roh",,Früchte/Früchte frisch,55,0.3,0.3
1479,"Apfelkuchen, gebacken (mit Blätterteig)",Apfelwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",142,7,2.3
1480,"Apfelkuchen, gebacken (mit Kuchenteig)",Apfelwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",134,4.9,2.7
627,"Apfelmus, gezuckert (Konserve)",,Früchte/Früchte gekocht (inkl. Konserven),90,0.3,0.3
628,"Apfelmus, ungezuckert (Konserve)",,Früchte/Früchte gekocht (inkl. Konserven),55,0.3,0.3
568,Apfelsaft,Süssmost,Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte,44,0.1,0.1
512,"Apfelwein, 4 vol%",Apfelmost;Saurer Most;Cider,Alkoholhaltige Getränke/Wein,32,0,0
513,"Apfelwein, 6.2 vol%",Apfelmost;Saurer Most;Cider,Alkoholhaltige Getränke/Wein,64,0,0
554,"Appenzeller, viertelfett",,Milch und Milchprodukte/Hartkäse,238,11.4,33.8
553,"Appenzeller, vollfett",,Milch und Milchprodukte/Hartkäse,386,31.7,24.8
1051,"Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker)",Marille,Früchte/Früchte gekocht (inkl. Konserven),60,0.1,1
469,"Aprikose, getrocknet",Dörraprikose,Früchte/Früchte getrocknet,275,0.5,5
621,"Aprikose, gezuckert (Konserve)",Marille,Früchte/Früchte gekocht (inkl. Konserven),84,0.1,0.7
379,"Aprikose, roh",Marille,Früchte/Früchte frisch,48,0.1,0.8
623,"Aprikose, ungezuckert (Konserve)",Marille,Früchte/Früchte gekocht (inkl. Konserven),48,0.1,0.8
1481,"Aprikosenkuchen, gebacken (mit Blätterteig)",Aprikosenwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",137,6.8,2.6
1482,"Aprikosenkuchen, gebacken (mit Kuchenteig)",Aprikosenwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",128,4.7,3
1003,"Aubergine, gedünstet (ohne Zugabe von Fett und Salz)",Eierfrucht,Gemüse/Gemüse gekocht (inkl. Konserven),28,0.2,1.2
349,"Aubergine, roh",Eierfrucht,Gemüse/Gemüse frisch,23,0.2,1
1659,"Auberginen-Piccata, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,169,11.8,5.3
1658,"Auberginenscheiben, paniert, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,139,5.9,4.8
10353,Aufschnitt (Durchschnitt),,Fleisch- und Wurstwaren/Brühwurstware,289,25.5,14.1
380,"Avocado, roh",,"Gemüse/Gemüse frisch;Nüsse, Samen und Ölfrüchte",144,14.2,1.8
763,"Bäckerhefe, gepresst",Bierhefe,Verschiedenes/Hefe;Verschiedenes/Backzutaten,96,1.2,16.7
1577,"Bami Goreng, zubereitet",,Gerichte/Asiatische Gerichte,137,2.6,14
740,"Banane, gedörrt",Bananenchips,Früchte/Früchte getrocknet,370,1.8,3.9
741,"Banane, getrocknet",,Früchte/Früchte getrocknet,273,1,3
381,"Banane, roh",,Früchte/Früchte frisch,95,0.3,1.1
464,"Basilikum, roh",,Gemüse/Kräuter,46,0.8,3.1
1248,Basler Leckerli,,Süssigkeiten/Guetzli,404,7.6,6.9
13344,"Bauernbratwurst, gebraten (ohne Zusatz von Fett un Salz)",,Fleisch- und Wurstwaren/Rohwurstware,270,20.4,21.1
841,"Bauernbratwurst, roh",Schweinsbratwurst,Fleisch- und Wurstwaren/Rohwurstware,243,19.3,16.9
1268,Bauernbrot,Burebrot,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",240,2,9
784,Bauernsalami,Salami nach Bauernart,Fleisch- und Wurstwaren/Rohwurstware,532,49.5,20.6
787,Bauernschüblig,,Fleisch- und Wurstwaren/Rohwurstware,524,48.5,21.3
271,Baumnuss,Walnuss,"Nüsse, Samen und Ölfrüchte",742,70.8,15.9
831,Baumnussbrot,,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",338,18.6,8.9
12981,Béchamelsauce hausgemacht,,Verschiedenes/Saucen,148,9.9,4.3
1122,"Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker)",,Früchte/Früchte gekocht (inkl. Konserven),44,0.5,0.8
1119,"Beeren (Durchschnitt), roh",,Früchte/Früchte frisch,42,0.5,0.8
851,Berliner,Pfannkuchen,Süssigkeiten/Sonstige süsse Backwaren,326,12.8,8.4
1211,Berner Alpkäse,,Milch und Milchprodukte/Hartkäse,456,38.3,27.7
1212,Berner Hobelkäse,,Milch und Milchprodukte/Hartkäse,493,41.2,30.6
790,Berner Zungenwurst,,Fleisch- und Wurstwaren/Brühwurstware,334,29.4,17.3
859,Biber,,Süssigkeiten/Sonstige süsse Backwaren,464,19.9,10.3
1183,Bier Panache (Durchschnitt),,Alkoholhaltige Getränke/Bier,38,0,0.2
839,"Bierhefe, getrocknet",Bäckerhefe;Trockenhefe;Hefepulver,Speziallebensmittel/Supplemente;Verschiedenes/Hefe,354,4.2,47.9
789,Bierwurst,,Fleisch- und Wurstwaren/Brühwurstware,350,31.3,16.8
1198,"Birchermüesli, zubereitet (ungezuckert)",,Gerichte/Müesli,87,3.1,2.7
1050,"Birne, gedünstet, abgetropft (ohne Zugabe von Zucker)",,Früchte/Früchte gekocht (inkl. Konserven),75,0.4,0.5
433,"Birne, getrocknet",Dörrbirne;Trockenbirne,Früchte/Früchte getrocknet,288,1.4,2.4
620,"Birne, gezuckert (Konserve)",,Früchte/Früchte gekocht (inkl. Konserven),92,0.3,0.4
382,"Birne, roh",,Früchte/Früchte frisch,58,0.3,0.4
626,"Birne, ungezuckert (Konserve)",,Früchte/Früchte gekocht (inkl. Konserven),58,0.3,0.4
1483,"Birnenkuchen, gebacken (mit Blätterteig)",Birnenwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",144,7,2.4
1484,"Birnenkuchen, gebacken (mit Kuchenteig)",Birnenwähe,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins",136,4.9,2.8
562,Birnensaft,,Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte,50,0.5,0.5
862,Birnenweggen,,Süssigkeiten/Sonstige süsse Backwaren,358,10.4,5
579,Blanc battu,,Milch und Milchprodukte/Frischkäse und Quark,43,0.1,7.6
604,Blanc battu mit Früchten light,,Milch und Milchprodukte/Frischkäse und Quark,68,0.2,8
904,"Blätterteig hausgemacht (Butter), ungebacken",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige",364,24.7,5.2
905,"Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige",358,24.1,5.2
849,"Blätterteigpastetli, Butter",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte",564,40.5,5.8
928,Blätterteigstängel,Flûtes,Salzige Snacks/Blätterteiggebäcke,497,33.6,7.2
1165,"Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz)",,Gemüse/Gemüse gekocht (inkl. Konserven),23,0.3,1.6
